City,Club Name,Location,Website,Strava Club Link,Social Media
New York,New York Road Runners,Multiple NYC Locations,https://www.nyrr.org,https://www.strava.com/clubs/nyrr,https://instagram.com/nyrr
New York,Black Roses NYC,Manhattan,https://blackrosesnyc.com,https://www.strava.com/clubs/blackrosesnyc,https://instagram.com/blackrosesnyc
New York,Dashing Whippets,Manhattan,https://www.dashingwhippets.org,https://www.strava.com/clubs/dashing-whippets,https://instagram.com/dashingwhippets
New York,Brooklyn Track Club,Brooklyn,https://www.brooklyntrackclub.org/,https://www.strava.com/clubs/277834,https://instagram.com/brooklyntrackclub
New York,North Brooklyn Runners,Brooklyn,https://northbrooklynrunners.org,https://www.strava.com/clubs/north-brooklyn-runners,https://www.instagram.com/northbrooklynrunners/
New York,Queens Distance Runners,Queens,https://queensdistance.org,https://www.strava.com/clubs/249991,https://instagram.com/queensdistance
New York,Asian Trail Mix,Multiple NYC Locations,https://www.asiantrailmix.org/,,https://www.instagram.com/asiantrailmix/?hl=en
New York,Badass Lady Gang,Manhattan,https://www.badassladygang.com/new-york-city,,https://instagram.com/badassladygangnyc
New York,Black Men Run,Brooklyn,https://blackmenrun.com/blackmenrun-chapters/new-york-city/,,https://www.instagram.com/blackmenrunnyc
New York,Boogie Down Bronx Runners,Bronx,https://linktr.ee/Boogiedownbronxrunners,,https://www.instagram.com/boogiedownbronxrunners/
New York,Bronx Endurance Runners,Bronx,https://www.bxendurancerunners.com/,,https://www.instagram.com/bxendurancerunners/
New York,Bronx Nomads,Bronx,,,https://www.instagram.com/bronxnomads/
New York,Central Park Track Club Tracksmith,Manhattan,https://centralparktc.org/,https://www.strava.com/clubs/central-park-track-club-tracksmith,https://www.instagram.com/centralparktc
New York,CPRC,Manhattan,https://cprunning.com/,,https://www.instagram.com/centralparkrunning/
New York,Crown Heights Run Club,Brooklyn,https://crownheightsrunningclub.nyc/,https://www.strava.com/clubs/CHRC,https://www.instagram.com/crownheightsrunningclub/
New York,Define New York Run Club,Brooklyn,,,https://www.instagram.com/definenewyorkrunclub
New York,Dirty Bird Run Club,Manhattan,https://www.dirtybirdrc.com/,https://www.strava.com/clubs/619337,https://www.instagram.com/dirtybirdrc
